"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","181","TC-SYS-NTC-017：删除不存在的 noticeId","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeCrud","test_notice_crud","",""
"","232","TC-SYS-NTC-015：新增后删除成功","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeCrud","test_notice_crud","",""
"
        传入 postName 模糊查询，断言:
        - 响应 code == 200
        - 若有匹配项则 rows 中每条 postName 包含查询关键字
        ","165","TC-SYS-PST-002：按 postName='董事长' 模糊查询，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestPostList","test_post_list","",""
"
        链路: 新增父部门（挂在 101 下）-> 新增子部门（挂在父部门下）->
              在子部门新增用户 -> 尝试删除子部门（预期失败，用户占用）->
              更新用户归属到父部门 -> 删除子部门（预期成功）->
              尝试删除父部门（预期失败，用户占用）-> 删除用户 -> 删除父部门（成功）
        ","854","TC-SYS-BIZ-008：组织树+用户归属联动（父子部门新增→用户归属→迁移→占用约束→清理）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"
        完整正向链路：
        1. 新增一个测试用户；
        2. 从 sys_user 表查出该用户的 user_id；
        3. 调用删除接口，断言 code==200。
        ","359","TC-SYS-DEL-001：先新增用户再删除，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestDeleteUser","test_delete_user","",""
"","172","TC-SYS-NTC-018：查询不存在的 noticeId 详情","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeCrud","test_notice_crud","",""
"
        roleIds/postIds：可全不选（[]）、部分选（库中至少 2 条时仅传首条）、
        全选（全部可用 id）。显式传列表以覆盖 YAML 模板占位 roleIds/postIds [0]。
        ","365","TC-SYS-USR-009：roleIds/postIds — role=none, post=none，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        从 DB 随机取一个有效角色 ID，查询其未分配用户，断言:
        - 响应 code == 200
        - 响应包含 total 与 rows 字段
        ","188","TC-SYS-ROL-033：查询指定角色的未分配用户列表，断言 code==200 且响应结构正确","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleUnallocatedUsers","test_role_auth_users","",""
"
        roleIds/postIds：可全不选（[]）、部分选（库中至少 2 条时仅传首条）、
        全选（全部可用 id）。显式传列表以覆盖 YAML 模板占位 roleIds/postIds [0]。
        ","317","TC-SYS-USR-009：roleIds/postIds — role=partial, post=none，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        不注入 Token 直接调用新增接口，断言:
        - 响应 code != 200（通常为 401）
        ","13","TC-SYS-DPT-013：未携带 Token 新增部门，断言被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptCrud","test_dept_crud","",""
"
        传入必填字段 + leader/phone/email，断言:
        - 响应 code == 200

        测试后通过接口删除所建部门。
        ","241","TC-SYS-DPT-011：含可选字段 leader/phone/email 新增部门，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptCrud","test_dept_crud","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","287","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        链路: 对用户/角色/岗位/部门/公告关键写接口统一执行无 Token 调用
        关键断言: 全部请求被拦截（code!=200），错误语义包含鉴权关键词
        ","187","TC-SYS-BIZ-010：鉴权统一防护回归（无 Token 调用关键写接口均被拦截）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"
        从 sys_user 表随机取一条 user_id >= 3 的普通用户，
        调用删除接口，断言:
        - code == 200
        - msg == ""操作成功""
        - DB 中该 user_id 的 del_flag 已变为 '2'（若依软删标记）
        ","188","TC-SYS-DEL-002：从 sys_user 表取普通用户 ID，直接删除，断言 code==200 并验证 DB 记录已软删","tests.test_system","2026-04-28","passed","2026-04-28","TestDeleteUser","test_delete_user","",""
"
        roleIds/postIds：可全不选（[]）、部分选（库中至少 2 条时仅传首条）、
        全选（全部可用 id）。显式传列表以覆盖 YAML 模板占位 roleIds/postIds [0]。
        ","294","TC-SYS-USR-009：roleIds/postIds — role=all, post=none，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        指定分页参数，断言:
        - 响应 code == 200
        - rows 长度不超过 pageSize
        ","187","TC-SYS-ROL-003：分页查询（pageNum=1, pageSize=5），断言 rows 长度 <= 5","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleList","test_role_list","",""
"
        传入文档中所有字段，断言:
        - 响应 code == 200
        - 响应结构符合 JSON Schema 契约
        ","359","TC-SYS-USR-002：全字段新增用户，断言 code==200 & 响应结构合法","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        完整正向链路：新增部门 → DB 回查 dept_id → 删除，断言:
        - 删除响应 code == 200
        ","233","TC-SYS-DPT-016：新增部门后删除，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptCrud","test_dept_crud","",""
"
        批量删除链路：
        1. 新增两个测试岗位；
        2. 调用批量删除接口，断言 code==200。
        ","287","TC-SYS-PST-017：批量删除多个测试岗位，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestPostCrud","test_post_crud","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","316","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        传入必填字段 + remark，断言:
        - 响应 code == 200

        测试后通过接口删除所建岗位。
        ","219","TC-SYS-PST-011：含可选字段 remark 新增岗位，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestPostCrud","test_post_crud","",""
"","666","TC-SYS-RBAC-002：停用用户再次登录应失败","tests.test_system","2026-04-28","passed","2026-04-28","TestPermissionRbac","test_permission_rbac","",""
"将角色数据权限设置为仅本人（dataScope=""5""），断言 code==200。","277","TC-SYS-ROL-022：修改数据权限为'仅本人'(dataScope='5')，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleDataScope","test_role_data_scope_status","",""
"
        从 DB 随机取一个有效角色 ID，查询其已分配用户，断言:
        - 响应 code == 200
        - 响应包含 total 与 rows 字段
        ","191","TC-SYS-ROL-030：查询指定角色的已分配用户列表，断言 code==200 且响应结构正确","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleAllocatedUsers","test_role_auth_users","",""
"
        登录后调用 getInfo，断言返回的 user.userName 与登录时传入的 username 完全一致，
        确保系统不会将 A 账号的 token 指向 B 账号的信息。
        ","148","TC-SYS-004b：登录后 getInfo 返回的用户名与登录账号一致","tests.test_system","2026-04-28","passed","2026-04-28","TestUserLogin","test_user_login","",""
"
        链路: 角色已被用户占用时删角色应失败(code=500 msg含「已分配/不能删除」)
              -> 删除用户并清理残留绑定 -> 再删角色成功
        ","733","TC-SYS-BIZ-004：角色删除保护链路（已分配角色不可删→清理用户→再删成功）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"
        传入分页参数，断言:
        - 响应 code == 200
        - rows 长度 <= pageSize
        ","179","TC-SYS-PST-004：分页查询（pageNum=1, pageSize=2），断言 rows 长度 <= 2","tests.test_system","2026-04-28","passed","2026-04-28","TestPostList","test_post_list","",""
"
        传入 postCode 模糊查询，断言:
        - 响应 code == 200
        - 若有匹配项则 rows 中每条 postCode 包含查询关键字
        ","178","TC-SYS-PST-003：按 postCode='ceo' 模糊查询，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestPostList","test_post_list","",""
"
        完整正向链路：
        1. 新增测试角色；
        2. 通过 roleKey 查 role_id；
        3. 调用详情获取原始字段；
        4. 修改 roleName 与 remark，断言 code==200；
        5. 再次查详情确认修改生效。
        ","364","TC-SYS-ROL-015：新增→获取详情→修改角色，断言 code==200 且修改后字段生效","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleCrud","test_role_crud","",""
"
        从 sys_user 表查询已存在的 phonenumber，直接尝试新增同手机号用户，断言:
        - code == 500
        - msg 包含""手机号码已存在""
        ","189","TC-SYS-USR-004：重复手机号新增，code==500 且提示手机号码已存在","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        roleIds/postIds：可全不选（[]）、部分选（库中至少 2 条时仅传首条）、
        全选（全部可用 id）。显式传列表以覆盖 YAML 模板占位 roleIds/postIds [0]。
        ","315","TC-SYS-USR-009：roleIds/postIds — role=all, post=partial，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"","417","TC-SYS-RBAC-003：自定义数据权限 dataScope=2 写入角色部门关系","tests.test_system","2026-04-28","passed","2026-04-28","TestPermissionRbac","test_permission_rbac","",""
"
        链路: 新增角色并绑定用户 -> 改角色状态为停用 ->
              确认角色状态字段 DB 一致 -> 恢复正常状态 -> 清理
        关键断言: 停用后 DB status='1'；恢复后 status='0'；全程接口均可正常返回
        ","717","TC-SYS-BIZ-006：角色状态切换对授权行为影响（停用→行为校验→恢复正常）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"
        删除一个不存在的岗位 ID，断言:
        - 服务端有明确响应（不崩溃）
        - code 通常为 200（幂等删除）或 500（业务错误）

        该用例记录服务端实际行为，以便回归时发现行为变化。
        ","163","TC-SYS-PST-018：删除不存在的岗位 ID（99999999），观察服务端实际返回","tests.test_system","2026-04-28","passed","2026-04-28","TestPostCrud","test_post_crud","",""
"
        完整正向链路：
        1. 新增测试岗位；
        2. 通过 postCode 查询 post_id；
        3. 调用删除接口，断言 code==200。
        ","216","TC-SYS-PST-016：新增岗位后删除，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestPostCrud","test_post_crud","",""
"
        roleIds/postIds：可全不选（[]）、部分选（库中至少 2 条时仅传首条）、
        全选（全部可用 id）。显式传列表以覆盖 YAML 模板占位 roleIds/postIds [0]。
        ","320","TC-SYS-USR-009：roleIds/postIds — role=partial, post=partial，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        对 dataScope 1~5 逐一验证（数据驱动）：
        - dataScope=""2""（自定义）不传 deptIds，服务端按空部门处理。
        - 断言每种枚举 code==200。
        ","307","TC-SYS-ROL-023：数据驱动—dataScope 枚举 1~5 均可修改成功","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleDataScope","test_role_data_scope_status","",""
"
        不注入 Token 直接请求，断言:
        - 响应 code != 200（通常为 401）
        ","24","TC-SYS-ROL-005：未携带 Token 获取角色列表，断言被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleList","test_role_list","",""
"
        不注入 Token，直接调用 delete_user，断言:
        - code 不为 200
        - msg 包含鉴权相关关键词
        ","18","TC-SYS-DEL-004：未携带 Token 删除用户，应被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestDeleteUser","test_delete_user","",""
"
        从 DB 取两条不同用户：
        - 目标用户（将被修改）；
        - 已有邮箱（从另一用户获取）；
        断言修改时 code==500 且 msg 含""邮箱账号已存在""。
        ","193","TC-SYS-UPD-003：修改邮箱为已存在的邮箱，code==500 且提示邮箱账号已存在","tests.test_system","2026-04-28","passed","2026-04-28","TestUpdateUser","test_update_user","",""
"
        使用正确的用户名/密码登录，断言:
        - 响应 code == 200
        - data.access_token 非空且为字符串
        - data.expires_in 为正整数（Token 有效期）
        - 响应结构符合 system_login_response JSON Schema
        ","131","TC-SYS-001：admin 正常登录，data.access_token 非空","tests.test_system","2026-04-28","passed","2026-04-28","TestUserLogin","test_user_login","",""
"
        先停用，再启用，断言:
        - 两次操作 code 均 == 200
        - 最终详情 status == ""0""
        ","380","TC-SYS-ROL-025：先停用后启用角色（status='0'），断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleStatus","test_role_data_scope_status","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","288","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"","312","TC-SYS-NTC-014：新增→修改→再查详情","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeCrud","test_notice_crud","",""
"
        对 dataScope 1~5 逐一验证（数据驱动）：
        - dataScope=""2""（自定义）不传 deptIds，服务端按空部门处理。
        - 断言每种枚举 code==200。
        ","326","TC-SYS-ROL-023：数据驱动—dataScope 枚举 1~5 均可修改成功","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleDataScope","test_role_data_scope_status","",""
"分页查询，断言 rows 长度不超过 pageSize。","193","TC-SYS-ROL-032：分页查询已分配用户（pageSize=5），断言 rows 长度 <= 5","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleAllocatedUsers","test_role_auth_users","",""
"
        不带任何过滤参数，断言:
        - 响应 code == 200
        - rows 列表非空（系统初始化至少包含若干岗位）
        - total >= 1
        ","174","TC-SYS-PST-001：不带参数获取岗位列表，断言 code==200 且 rows 非空","tests.test_system","2026-04-28","passed","2026-04-28","TestPostList","test_post_list","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","288","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"将角色数据权限设置为本部门（dataScope=""3""），断言 code==200。","419","TC-SYS-ROL-021：修改数据权限为'本部门'(dataScope='3')，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleDataScope","test_role_data_scope_status","",""
